name,stars,age_in_years,releases,primary_language,repo_url,dit,loc,cbo:mean,cbo:median,cbo:std,lcom*:mean,lcom*:median,lcom*:std,processed
geekxh/hello-algorithm,35148,4.28,0,Java,https://github.com/geekxh/hello-algorithm,1.0,58.0,1.0,1.0,0.816496580927726,0.0,0.0,0.0,True
airbnb/lottie-android,34947,7.93,50,Java,https://github.com/airbnb/lottie-android,6.0,17194.0,6.83623693379791,5.0,8.243528374146633,0.317904848,0.0,0.35127700706443277,True
termux/termux-app,34605,8.88,91,Java,https://github.com/termux/termux-app,6.0,24359.0,5.940438871473354,4.0,7.182325122462683,0.3545375470205479,0.15882353,0.38120260519005905,True
bumptech/glide,34576,11.18,47,Java,https://github.com/bumptech/glide,20.0,60334.0,5.954787234042553,4.0,6.439929335664147,0.22675263604560694,0.0,0.3108512543586794,True
netty/netty,33257,13.84,0,Java,https://github.com/netty/netty,26.0,326599.0,4.24381420923166,2.0,5.568403288826401,0.18277807775218025,0.0,0.31949623092214346,True
Blankj/AndroidUtilCode,33227,8.12,117,Java,https://github.com/Blankj/AndroidUtilCode,10.0,39995.0,4.16865671641791,2.0,5.558097735232369,0.2366438475619195,0.0,0.3530877914033906,True
halo-dev/halo,33134,6.47,189,Java,https://github.com/halo-dev/halo,8.0,49588.0,7.408176943699732,5.0,7.07847718819603,0.24868557496403979,0.0,0.32077423448347686,True
xkcoding/spring-boot-demo,32836,6.83,0,Java,https://github.com/xkcoding/spring-boot-demo,5.0,7155.0,5.039501039501039,4.0,3.9979853243008936,0.106644012,0.0,0.23711685250712983,True
zxing/zxing,32636,12.92,31,Java,https://github.com/zxing/zxing,6.0,39885.0,4.8806722689075634,4.0,4.699101958025604,0.3286942931144781,0.25,0.34912083142092154,True
alibaba/easyexcel,31947,6.59,13,Java,https://github.com/alibaba/easyexcel,8.0,20486.0,6.2785714285714285,5.0,5.631946957368495,0.2799428160243363,0.0,0.33609111915299134,True
TeamNewPipe/NewPipe,31013,9.02,131,Java,https://github.com/TeamNewPipe/NewPipe,10.0,40796.0,8.271453590192644,5.0,10.276639781930957,0.3452499429143898,0.2,0.36699436254494,True
doocs/leetcode,30752,5.98,20,Java,https://github.com/doocs/leetcode,2.0,4088.0,2.493333333333333,2.0,1.7804369001892641,0.25073719161073826,0.25,0.18931706129878584,True
SeleniumHQ/selenium,30175,11.65,97,Java,https://github.com/SeleniumHQ/selenium,28.0,86060.0,5.702847931219774,3.0,7.03521024449806,0.223651747857221,0.0,0.3180236488279388,True
ityouknow/spring-boot-examples,30165,7.85,0,Java,https://github.com/ityouknow/spring-boot-examples,2.0,4451.0,4.5568862275449105,4.0,2.9992110547821884,0.10386739126888217,0.0,0.23904458551211585,True
alibaba/nacos,29954,6.24,70,Java,https://github.com/alibaba/nacos,12.0,136649.0,5.450118363205952,3.0,6.322466729503527,0.2903271381573427,0.0,0.32743678122756253,True
apolloconfig/apollo,29058,8.52,40,Java,https://github.com/apolloconfig/apollo,14.0,31360.0,7.203389830508475,6.0,6.618830339472484,0.32352575282014384,0.25,0.3278718797978971,True
